draws,state,seed,latency_ms,expected_runs,probability_15_plus,probability_20_plus,wicket_probability,p2.5,p10,p20,p25,p50,p75,p80,p90,p95,p97.5
25000,powerplay,1,3957.814400000643,7.06496,0.04728,0.00536,0.24336,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,16.0
25000,powerplay,2,3916.9054999993023,7.04524,0.04788,0.0056,0.24136,1.0,2.0,3.0,4.0,7.0,9.0,10.0,12.0,14.0,16.0
25000,powerplay,3,4028.8480999997773,7.08,0.04696,0.00496,0.24028,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,16.0
25000,middle,1,3999.795799999447,7.24704,0.0558,0.00772,0.2252,1.0,3.0,4.0,4.0,7.0,10.0,10.0,13.0,15.0,17.0
25000,middle,2,3986.6547999999966,7.23276,0.05792,0.00776,0.2272,1.0,3.0,4.0,4.0,7.0,10.0,10.0,13.0,15.0,17.0
25000,middle,3,4103.875200000402,7.2588,0.05564,0.00804,0.22488,1.0,3.0,4.0,4.0,7.0,10.0,10.0,13.0,15.0,17.0
25000,death,1,4198.733199999879,9.08572,0.149,0.03552,0.39964,1.0,3.0,4.0,5.0,8.0,12.0,13.0,16.0,18.0,21.0
25000,death,2,4401.504499999646,9.068,0.14764,0.033,0.39596,1.0,3.0,4.0,5.0,9.0,12.0,13.0,16.0,18.0,20.0
25000,death,3,4291.815100000349,9.12296,0.15016,0.03472,0.39712,1.0,3.0,5.0,5.0,9.0,12.0,13.0,16.0,18.0,20.0
25000,low_pressure_chase,1,4252.83539999964,7.06496,0.04728,0.00536,0.24336,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,16.0
25000,low_pressure_chase,2,4120.290099999693,7.04524,0.04788,0.0056,0.24136,1.0,2.0,3.0,4.0,7.0,9.0,10.0,12.0,14.0,16.0
25000,low_pressure_chase,3,3886.5943999999217,7.08,0.04696,0.00496,0.24028,1.0,2.0,3.0,4.0,7.0,10.0,10.0,12.0,14.0,16.0
25000,high_pressure_chase,1,4403.145000000222,8.16632,0.0888,0.013,0.3312,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
25000,high_pressure_chase,2,4353.845499999807,8.14792,0.08756,0.01316,0.32868,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
25000,high_pressure_chase,3,4328.158899999835,8.17964,0.08836,0.01188,0.32808,2.0,3.0,4.0,5.0,8.0,11.0,12.0,14.0,16.0,18.0
25000,high_scoring_state,1,4685.503699999572,11.77104,0.2948,0.09516,0.31736,2.0,5.0,7.0,8.0,11.0,15.0,16.0,19.0,22.0,24.0
25000,high_scoring_state,2,4311.084000000847,11.753,0.29564,0.0958,0.31336,2.0,5.0,7.0,8.0,11.0,15.0,16.0,19.0,22.0,24.0
25000,high_scoring_state,3,4545.022500000414,11.82492,0.29828,0.09756,0.31264,2.0,5.0,7.0,8.0,11.0,15.0,17.0,19.0,22.0,24.0
25000,low_scoring_state,1,3798.2136999999057,6.80972,0.0408,0.0052,0.23272,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
25000,low_scoring_state,2,3834.9310000003243,6.79368,0.04272,0.005,0.23112,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
25000,low_scoring_state,3,3846.1437999994814,6.82288,0.04216,0.00496,0.22936,1.0,2.0,3.0,4.0,6.0,9.0,10.0,12.0,14.0,16.0
